Country,Region,HappinessScore2015,HappinessScore2016,HappinessScore2017,DifferenceYoY_2015-2016,DifferenceYoY_2016-2017,DifferenceYoY_2015-2017
Afghanistan,Southern Asia,3.575,3.36,3.79399991,0.215,-0.43399991,-0.21899991
Albania,Central and Eastern Europe,4.959,4.655,4.644000053,0.304,0.010999947,0.314999947
Algeria,Middle East and Northern Africa,5.605,6.355,5.872000217,-0.75,0.482999783,-0.267000217
Angola,Sub-Saharan Africa,4.033,3.866,3.795000076,0.167,0.070999924,0.237999924
Argentina,Latin America and Caribbean,6.574,6.65,6.598999977,-0.076,0.051000023,-0.024999977
Armenia,Central and Eastern Europe,4.35,4.36,4.375999928,-0.01,-0.015999928,-0.025999928
Australia,Australia and New Zealand,7.284,7.313,7.28399992,-0.029,0.02900008,8E-08
Austria,Western Europe,7.2,7.119,7.006000042,0.081,0.112999958,0.193999958
Azerbaijan,Central and Eastern Europe,5.212,5.291,5.234000206,-0.079,0.056999794,-0.022000206
Bahrain,Middle East and Northern Africa,5.96,6.218,6.086999893,-0.258,0.131000107,-0.126999893
Bangladesh,Southern Asia,4.694,4.643,4.607999802,0.051,0.035000198,0.086000198
Belarus,Central and Eastern Europe,5.813,5.802,5.568999767,0.011,0.233000233,0.244000233
Belgium,Western Europe,6.937,6.929,6.890999794,0.008,0.038000206,0.046000206
Benin,Sub-Saharan Africa,3.34,3.484,3.657000065,-0.144,-0.173000065,-0.317000065
Bhutan,Southern Asia,5.253,5.196,5.011000156,0.057,0.184999844,0.241999844
Bolivia,Latin America and Caribbean,5.89,5.822,5.822999954,0.068,-0.000999954,0.067000046
Bosnia and Herzegovina,Central and Eastern Europe,4.949,5.163,5.18200016,-0.214,-0.01900016,-0.23300016
Botswana,Sub-Saharan Africa,4.332,3.974,3.766000032,0.358,0.207999968,0.565999968
Brazil,Latin America and Caribbean,6.983,6.952,6.635000229,0.031,0.316999771,0.347999771
Bulgaria,Central and Eastern Europe,4.218,4.217,4.714000225,0.001,-0.497000225,-0.496000225
Burkina Faso,Sub-Saharan Africa,3.587,3.739,4.032000065,-0.152,-0.293000065,-0.445000065
Burundi,Sub-Saharan Africa,2.905,2.905,2.904999971,0,2.9E-08,2.9E-08
Cambodia,Southeastern Asia,3.819,3.907,4.168000221,-0.088,-0.261000221,-0.349000221
Cameroon,Sub-Saharan Africa,4.252,4.513,4.695000172,-0.261,-0.182000172,-0.443000172
Canada,North America,7.427,7.404,7.315999985,0.023,0.088000015,0.111000015
Chad,Sub-Saharan Africa,3.667,3.763,3.936000109,-0.096,-0.173000109,-0.269000109
Chile,Latin America and Caribbean,6.67,6.705,6.65199995,-0.035,0.05300005,0.01800005
China,Eastern Asia,5.14,5.245,5.272999763,-0.105,-0.027999763,-0.132999763
Colombia,Latin America and Caribbean,6.477,6.481,6.356999874,-0.004,0.124000126,0.120000126
Congo (Brazzaville),Sub-Saharan Africa,3.989,4.236,4.290999889,-0.247,-0.054999889,-0.301999889
Congo (Kinshasa),Sub-Saharan Africa,4.517,4.272,4.28000021,0.245,-0.00800021,0.23699979
Costa Rica,Latin America and Caribbean,7.226,7.087,7.078999996,0.139,0.008000004,0.147000004
Croatia,Central and Eastern Europe,5.759,5.488,5.293000221,0.271,0.194999779,0.465999779
Cyprus,Western Europe,5.689,5.546,5.620999813,0.143,-0.074999813,0.068000187
Czech Republic,Central and Eastern Europe,6.505,6.596,6.609000206,-0.091,-0.013000206,-0.104000206
