Country,Region,HappinessScore2015,HappinessScore2016,HappinessScore2017,DifferenceYoY_2015-2016,DifferenceYoY_2016-2017,DifferenceYoY_2015-2017,EconomyAvg_2015,EconomyAvg_2016,EconomyAvg_2017,FamilyAvg_2015,FamilyAvg_2016,FamilyAvg_2017,HealthLifeExpAvg_2015,HealthLifeExpAvg_2016,HealthLifeExpAvg_2017,FreedomAvg_2015,FreedomAvg_2016,FreedomAvg_2017,TrustGovtAvg_2015,TrustGovtAvg_2016,TrustGovtAvg_2017,GenerosityAvg_2015,GenerosityAvg_2016,GenerosityAvg_2017
Australia,Australia and New Zealand,7.284,7.313,7.28399992,-0.029,0.02900008,0.00000008,1.33358,1.44443,1.484414935,1.30923,1.10476,1.510041952,0.93156,0.8512,0.843886793,0.65124,0.56837,0.601607382,0.35637,0.32331,0.47769925,0.43562,0.47407,0.30118373
New Zealand,Australia and New Zealand,7.286,7.334,7.31400013,-0.048,0.01999987,-0.02800013,1.25018,1.36066,1.405706048,1.31967,1.17278,1.548195124,0.90837,0.83096,0.816759706,0.63938,0.58147,0.61406213,0.42922,0.41904,0.500005126,0.47501,0.49401,0.382816702
Latvia,Central and Eastern Europe,5.098,5.56,5.849999905,-0.462,-0.289999905,-0.751999905,1.11312,1.21788,1.260748625,1.09562,0.95025,1.404714942,0.72437,0.63952,0.638566971,0.29671,0.27996,0.325707912,0.06332,0.0889,0.153074786,0.18226,0.17445,0.073842727
Romania,Central and Eastern Europe,5.124,5.528,5.824999809,-0.404,-0.296999809,-0.700999809,1.04345,1.1697,1.217683911,0.88588,0.72803,1.15009129,0.7689,0.67602,0.685158312,0.35068,0.36712,0.457003742,0.00649,0.00679,0.133519918,0.13748,0.12889,0.004387901
Hungary,Central and Eastern Europe,4.8,5.145,5.323999882,-0.345,-0.178999882,-0.523999882,1.12094,1.24142,1.286011934,1.20215,0.93164,1.343133092,0.75905,0.67608,0.687763453,0.32112,0.1977,0.175863519,0.02758,0.04472,0.078401662,0.128,0.099,0.036636937
Bulgaria,Central and Eastern Europe,4.218,4.217,4.714000225,0.001,-0.497000225,-0.496000225,1.01216,1.11306,1.161459088,1.10614,0.92542,1.434379458,0.76649,0.67806,0.70821768,0.30587,0.21219,0.289231718,0.00872,0.00615,0.113177694,0.11921,0.12793,0.011051531
Turkmenistan,Central and Eastern Europe,5.548,5.658,5.822000027,-0.11,-0.164000027,-0.274000027,0.95847,1.08017,1.130776763,1.22668,1.03817,1.493149161,0.53886,0.44006,0.43772608,0.4761,0.37408,0.418271929,0.30844,0.28467,0.249924988,0.16979,0.22567,0.25927034
Serbia,Central and Eastern Europe,5.123,5.177,5.394999981,-0.054,-0.217999981,-0.271999981,0.92053,1.03437,1.069317579,1.00964,0.81329,1.258189797,0.74836,0.6458,0.650784671,0.20107,0.15718,0.208715528,0.02617,0.04339,0.220125884,0.19231,0.20737,0.040903781
Tajikistan,Central and Eastern Europe,4.786,4.996,5.040999889,-0.21,-0.044999889,-0.254999889,0.39047,0.48835,0.524713635,0.85563,0.75602,1.271463275,0.57379,0.53119,0.529235125,0.47216,0.43408,0.471566707,0.15072,0.13509,0.248997644,0.22974,0.25998,0.146377146
Russia,Central and Eastern Europe,5.716,5.856,5.962999821,-0.14,-0.106999821,-0.246999821,1.13764,1.23228,1.281778097,1.23617,1.05261,1.469282389,0.66926,0.58991,0.547349334,0.36679,0.32682,0.373783112,0.03005,0.03586,0.052263822,0.00199,0.02736,0.032962881
